Business & Management,Understand how to assess global market opportunities and challenges while developing successful global marketing strategies.,Global Marketing Strategy,Thunderbird School of Global Management,,249.00 USD,https://www.edx.org/school/thunderbirdx,None,ASUx+TGM551x
Business & Management,Start learning towards a qualification and a career in business and finance with this introduction level course from ACCA-X.,Introduction to Financial and Management Accounting,ACCA,,0.00 USD,https://www.edx.org/school/acca,None,ACCA+FA1-MA1.X
Business & Management,Get business-ready and prepare for a qualification by building your finance and accountancy skills with this course from ACCA-X.,Intermediate Financial and Management Accounting,ACCA,,0.00 USD,https://www.edx.org/school/acca,None,ACCA+FA2-MA2.X
Medicine,.,Managing Addiction: A Framework for Successful Treatment,University of Adelaide,,50.00 USD,https://www.edx.org/school/adelaidex,None,AdelaideX+AddictionX
Computer Science,"Learn key technologies and techniques, including R and Hadoop, to analyse large-scale data sets to uncover valuable business information.",Big Data Analytics,University of Adelaide,,150.00 USD,https://www.edx.org/school/adelaidex,None,AdelaideX+AnalysisX
Computer Science,"Learn how big data is driving organisational change and essential analytical tools, including data mining and PageRank algorithms.",Big Data Fundamentals,University of Adelaide,,150.00 USD,https://www.edx.org/school/adelaidex,None,AdelaideX+BigDataX
Computer Science,Empower yourself to create and control digital information.,Think. Create. Code.,University of Adelaide,,50.00 USD,https://www.edx.org/school/adelaidex,None,AdelaideX+Code101x
Computer Science,.,"Cyberwar, Surveillance and Security",University of Adelaide,,50.00 USD,https://www.edx.org/school/adelaidex,None,AdelaideX+Cyber101x
Computer Science,Further develop your knowledge of big data by applying the skills you have learned to a real-world data science project.,Big Data Capstone Project,University of Adelaide,,750.00 USD,https://www.edx.org/school/adelaidex,None,AdelaideX+DataCapX
Medicine,An introduction to the human body's most fundamental building blocks and their behaviours in health and disease.,Essential Human Biology: Cells and Tissues,University of Adelaide,,49.00 USD,https://www.edx.org/school/adelaidex,None,AdelaideX+HumBio101x
Communication,Learn how the world’s endangered languages are revived and why this process is critical to preserving cultural identity.,Language Revival:  Securing the Future of Endangered Languages,University of Adelaide,,50.00 USD,https://www.edx.org/school/adelaidex,None,AdelaideX+Lang101x
Humanities,Actúa en favor de los derechos humanos.,Derechos humanos: Los derechos de las personas refugiadas,Amnesty International,,49.00 USD,https://www.edx.org/school/amnesty-internationalx,None,AmnestyInternationalX+Rights2xES
Humanities,"Explore how social, technological, and sustainable systems are interacting to create the modern world.","Technological, Social, and Sustainable Systems",Arizona State University,,49.00 USD,https://www.edx.org/school/asux,None,ASUx+CEE181x
